val_subject_id,n_train_windows,n_val_windows,best_epoch,best_val_loss,mae,rmse,rms,r2,bias,mape_pct
02,2227,126,24,0.15514481626451015,0.30398789406978277,0.3824364641087875,0.3824364641087875,0.7681911892129712,0.2101244982805352,146.42214119049365
03,2230,123,12,0.13279868476092815,0.266996173251819,0.3512705112744826,0.3512705112744826,0.8972136616502064,-0.02046918638048032,54.941504040574074
08,2232,121,30,0.10997675079852343,0.25463248249435844,0.3271481573288749,0.3271481573288749,0.8781728459929601,-0.07237398694287318,108.8753923074646
09,2230,123,9,0.42275430634617805,0.5711410386884727,0.6304233341132612,0.6304233341132612,0.4209868312393529,0.5327339344723201,257.4927249209412
12,2233,120,33,0.3257004953920841,0.447542978447005,0.5639454838496047,0.5639454838496047,0.28826444864421674,-0.1428316418293883,619.0069171889618
13,2229,124,2,0.576510488986969,0.5737041877307654,0.7350454069593025,0.7350454069593025,0.6479047762668433,-0.4753881262697815,230.97242851392298
14,2216,137,17,1.3095052672757044,0.9885049946784946,1.0740548012209383,1.0740548012209383,-0.02248381551945755,0.9650387690283716,290.94064546153584
15,2226,127,2,1.4759542047977448,0.9044726480965032,1.1877414359431933,1.1877414359431933,0.06168368919992262,-0.6271438688547241,102.28752911592758
16,2234,119,29,0.19911739882081747,0.28343477721421273,0.41731098313956977,0.41731098313956977,0.6253809373491692,0.13011760942232262,109.26950146321923
17,2232,121,6,0.1415399545803666,0.259786644839504,0.3574807097571746,0.3574807097571746,0.8121580994198467,-0.16132309972904763,86.99532121765202
18,2232,121,37,0.22117995657026768,0.3846773613524461,0.45611152355175827,0.45611152355175827,0.619153553880534,0.3599273310647123,191.37647989439967
19,2227,126,14,0.48289354890584946,0.515982438575836,0.6738970030709692,0.6738970030709692,0.5473685198766152,0.01217899304381005,80.09993884215874
20,2231,122,19,0.09529816824942827,0.19777073240690088,0.2820859071745759,0.2820859071745759,0.8765650679296678,-0.02459506141079101,116.00186808585089
21,2229,124,14,0.18054344784468412,0.3146803023593414,0.40822991860714253,0.40822991860714253,0.7681568174608271,-0.21167593146077238,223.5877305454111
22,2230,123,13,0.0886838841252029,0.23082729419683648,0.28848423743009666,0.28848423743009666,0.8381830719372232,-0.17805717275516197,620.9386544980916
25,2228,125,1,0.2193043939769268,0.39352332242315013,0.46413104711879466,0.46413104711879466,0.5819463221843597,-0.05032248898940782,122.36127604924951
27,2229,124,7,0.2778384815901518,0.38775050745829154,0.5120197728598287,0.5120197728598287,0.7163051003287496,-0.22449307889104583,220.3958578875457
28,2232,121,31,0.1020290944725275,0.2310763143978759,0.30343108824996057,0.30343108824996057,0.8919552898051097,0.012424471332587702,70.48969094470071
29,2227,126,27,0.07801905926316977,0.18500441759173075,0.26760460310951084,0.26760460310951084,0.8956752723105359,0.04691950625871806,84.53705876066883
