config_id,phase,model_type,window_seconds,stride_seconds,learning_rate,dropout,loss,batch_size,seed,n_folds,mae_mean_cm,mae_std_cm,rmse_mean_cm,rmse_std_cm,rms_mean_cm,bias_cm,proportional_bias_slope,composite_score,status,stop_reason,seed_mae_mean,seed_mae_std
stab_tcn_9d3ea2d0,stability,tcn,2.5,0.25,0.001,0.1,mse,16,7,19,1.1428059912180757,0.18000572119624225,1.4571753326599777,0.22248029100776048,1.4571753326599777,-0.025324317116189352,-0.18463600992146179,1.3572935723669537,completed,,1.2081676859132344,0.03012738048490644
stab_tcn_c94f567b,stability,tcn,2.5,0.25,0.001,0.1,huber,16,7,19,1.171557071923431,0.19151470225356898,1.4882990678337722,0.23533672959717178,1.4882990678337722,0.008420468364374363,-0.18578574452445554,1.3896136680015474,completed,,1.2081676859132344,0.03012738048490644
stab_tcn_dd16fd13,stability,tcn,2.5,0.25,0.001,0.1,huber,32,7,19,1.173231804566692,0.19007987590047865,1.5094544378205086,0.2426481081117893,1.5094544378205086,-0.07332885193644,-0.21462329487061457,1.4056652436256356,completed,,1.2081676859132344,0.03012738048490644
stab_tcn_cdc6fbc6,stability,tcn,2.5,0.25,0.001,0.1,huber,32,2026,19,1.1835523316212773,0.21063913258566136,1.496458304326492,0.25138055067249504,1.496458304326492,-0.010124442412155502,-0.214013058418772,1.4102842864282876,completed,,1.2081676859132344,0.03012738048490644
stab_tcn_52df49df,stability,tcn,2.5,0.25,0.001,0.1,huber,16,3407,19,1.1861495742197319,0.2017624344584943,1.510261705510722,0.23797259817303892,1.510261705510722,0.00460583625079204,-0.21217256764225778,1.4110308546115176,completed,,1.2081676859132344,0.03012738048490644
stab_tcn_c420a354,stability,tcn,2.5,0.25,0.001,0.1,mse,16,3407,19,1.1857626404734065,0.1957527029507525,1.5047689032200124,0.23379583043010863,1.5047689032200124,-0.01937872627510381,-0.23032783597459774,1.4126236680960667,completed,,1.2081676859132344,0.03012738048490644
stab_tcn_8155e819,stability,tcn,2.5,0.25,0.001,0.1,huber,32,3407,19,1.1746779434528523,0.20484538588970277,1.512051335720776,0.25642532679954155,1.512051335720776,-0.09560947183471907,-0.21348964289204855,1.4142911775860139,completed,,1.2081676859132344,0.03012738048490644
stab_tcn_b79924b3,stability,tcn,2.5,0.25,0.001,0.1,huber,32,123,19,1.1911563152781497,0.1983568636948462,1.502965196429175,0.24169563713115888,1.502965196429175,0.020564434505572042,-0.19971189604887982,1.415604274649748,completed,,1.2081676859132344,0.03012738048490644
stab_tcn_cb2da2e7,stability,tcn,2.5,0.25,0.001,0.1,mse,16,2026,19,1.184143549956923,0.21359780017252358,1.5153179908722738,0.2602937897090776,1.5153179908722738,0.036422167259021615,-0.21096381626391456,1.4171408748267713,completed,,1.2081676859132344,0.03012738048490644
stab_tcn_35165422,stability,tcn,2.5,0.25,0.001,0.1,huber,16,123,19,1.2000326309684712,0.21211576650119546,1.5196528108841267,0.2566533360910875,1.5196528108841267,0.014439386323361126,-0.2230679951014521,1.4310059301650775,completed,,1.2081676859132344,0.03012738048490644
stab_tcn_a2756ebf,stability,tcn,2.5,0.25,0.001,0.1,huber,16,2026,19,1.2025134854025978,0.2241741815561682,1.5327504805045526,0.27011277804842543,1.5327504805045526,0.016407231203872674,-0.19833738999661735,1.435633271546583,completed,,1.2081676859132344,0.03012738048490644
stab_tcn_2dbef567,stability,tcn,2.5,0.25,0.001,0.1,huber,16,42,19,1.200695379740953,0.2271151479315744,1.5120656671006842,0.2629122283225191,1.5120656671006842,0.02947820234550432,-0.215101476859034,1.4361189804958894,completed,,1.2081676859132344,0.03012738048490644
