config_id,phase,model_type,window_seconds,stride_seconds,learning_rate,dropout,loss,batch_size,seed,n_folds,mae_mean_cm,mae_std_cm,rmse_mean_cm,rmse_std_cm,rms_mean_cm,bias_cm,proportional_bias_slope,composite_score,status,stop_reason,seed_mae_mean,seed_mae_std
fast_cnn1d_57a2ed33,fast,cnn1d,1.0,0.5,0.001,0.1,huber,32,42,19,1.2025937805635865,0.2050696939623646,1.4445351724300808,0.2337982039161132,1.4445351724300808,0.0722981790210549,-0.2516406209236926,1.4343235102427132,completed,,,
fast_cnn1d_15791212,fast,cnn1d,1.0,0.5,0.001,0.2,huber,32,42,7,1.5216481008497167,0.2748404570241826,1.8250765724411189,0.2934078858009025,1.8250765724411189,0.4746241476598796,-0.3226573331836841,1.8763252278172249,pruned_early,pruning,,
fast_cnn1d_d382efae,fast,cnn1d,1.0,0.5,0.0005,0.1,huber,32,42,7,1.525790272533779,0.2969192939198345,1.8392024515460568,0.3178997294610056,1.8392024515460568,0.4708366758484337,-0.2342502384204052,1.8779908663876488,pruned_early,pruning,,
fast_cnn1d_dcb1db72,fast,cnn1d,1.0,0.5,0.0005,0.2,huber,32,42,7,1.5953688409652396,0.3047363885276637,1.9425544517515607,0.3425741948454507,1.9425544517515607,0.412263258610417,-0.315515169397391,1.9591993890036128,pruned_early,pruning,,
fast_cnn1d_946aeba9,fast,cnn1d,1.0,1.0,0.001,0.1,huber,32,42,7,1.5728904354427875,0.3106775072305381,1.873482708994307,0.3237025033761864,1.873482708994307,0.4055182883130859,-0.2205338576483003,1.9207892121616448,pruned_early,pruning,,
fast_cnn1d_7d906aeb,fast,cnn1d,1.0,1.0,0.001,0.2,huber,32,42,7,1.6186249577316687,0.3047327658011146,1.9541041272525168,0.3194292851658852,1.9541041272525168,0.3312826883177455,-0.2729168019373593,1.967202645348597,pruned_early,pruning,,
fast_cnn1d_785e7112,fast,cnn1d,1.0,1.0,0.0005,0.1,huber,32,42,7,1.6878104092129322,0.30749862369764,2.0195235164992504,0.3262513645626726,2.0195235164992504,0.467228305850862,-0.2760115174148781,2.0643228144063843,pruned_early,pruning,,
fast_cnn1d_442b81e2,fast,cnn1d,1.0,1.0,0.0005,0.2,huber,32,42,7,1.6976818528477466,0.31460780069399,2.036718071976059,0.3555025281367481,2.036718071976059,0.4746043058958422,-0.3601233742628644,2.0872085935295126,pruned_early,pruning,,
fast_cnn1d_5d5f2d39,fast,cnn1d,2.0,0.5,0.001,0.1,huber,32,42,19,1.081769046219135,0.2022375542345819,1.3360009167060705,0.2380743945193876,1.3360009167060705,0.0720535042562596,-0.2307636019607379,1.2998129122829,completed,,,
fast_cnn1d_12dc33b0,fast,cnn1d,2.0,0.5,0.001,0.2,huber,32,42,7,1.430493471955048,0.3255545032021465,1.7110818901463447,0.345997603163521,1.7110818901463447,0.447039664113765,-0.314591338343291,1.7815053702216128,pruned_early,pruning,,
fast_cnn1d_adac00a6,fast,cnn1d,2.0,0.5,0.0005,0.1,huber,32,42,7,1.404799304330124,0.2914840881633863,1.6776402355297124,0.3114010887573397,1.6776402355297124,0.3855446436991088,-0.2825445021761357,1.731520496696422,pruned_early,pruning,,
fast_cnn1d_0f5e8ddb,fast,cnn1d,2.0,0.5,0.0005,0.2,huber,32,42,7,1.468579372359708,0.3216181681621327,1.7672757367066616,0.3445809596458879,1.7672757367066616,0.4453288597858209,-0.2611230354040846,1.8186231205791887,pruned_early,pruning,,
fast_cnn1d_2aac0e24,fast,cnn1d,2.0,1.0,0.001,0.1,huber,32,42,7,1.381410196666567,0.297573591583331,1.6794515029965724,0.3234768109911985,1.6794515029965724,0.4169729579157558,-0.2284734904923605,1.7091420375986563,pruned_early,pruning,,
fast_cnn1d_7f7962ad,fast,cnn1d,2.0,1.0,0.001,0.2,huber,32,42,7,1.487402444362295,0.3106952496820505,1.7800387460910638,0.3303239385935761,1.7800387460910638,0.4555058710643317,-0.1542725416370222,1.8268332662152664,pruned_early,pruning,,
fast_cnn1d_5e0bfa52,fast,cnn1d,2.0,1.0,0.0005,0.1,huber,32,42,7,1.4907143125194686,0.3151737982626443,1.8315052017815068,0.3524637440736276,1.8315052017815068,0.330019362916396,-0.1439406613791888,1.8165552528386584,pruned_early,pruning,,
