config_id,phase,model_type,window_seconds,stride_seconds,learning_rate,dropout,loss,batch_size,seed,n_folds,mae_mean_cm,mae_std_cm,rmse_mean_cm,rmse_std_cm,rms_mean_cm,bias_cm,proportional_bias_slope,composite_score,status,stop_reason,seed_mae_mean,seed_mae_std
stab_tcn_dd16fd13,stability,tcn,2.5,0.25,0.001,0.1,huber,32,7,19,1.173231804566692,0.1900798759004786,1.5094544378205086,0.2426481081117893,1.5094544378205086,-0.07332885193644,-0.2146232948706145,1.4041588746013902,completed,,1.173231804566692,0.0
stab_tcn_e3a182eb,stability,tcn,2.5,0.25,0.001,0.1,huber,32,42,19,1.2326831135107836,0.2254661281093944,1.5702638002580185,0.2709735487310845,1.5702638002580185,-0.0150309291026171,-0.2026662361346937,1.468597288542796,completed,,1.2029574590387375,0.0420384237047835
stab_tcn_b79924b3,stability,tcn,2.5,0.25,0.001,0.1,huber,32,123,19,1.1911563152781497,0.1983568636948462,1.502965196429175,0.2416956371311588,1.502965196429175,0.020564434505572,-0.1997118960488798,1.4140979056255023,completed,,1.199023744451875,0.0304965057858133
stab_tcn_cdc6fbc6,stability,tcn,2.5,0.25,0.001,0.1,huber,32,2026,19,1.1835523316212773,0.2106391325856613,1.496458304326492,0.251380550672495,1.496458304326492,-0.0101244424121555,-0.214013058418772,1.4087779174040422,completed,,1.1951558912442255,0.0260742349936956
stab_tcn_8155e819,stability,tcn,2.5,0.25,0.001,0.1,huber,32,3407,19,1.1746779434528525,0.2048453858897027,1.512051335720776,0.2564253267995415,1.512051335720776,-0.095609471834719,-0.2134896428920485,1.4127848085617685,completed,,1.1910603016859511,0.0243673668464421
stab_tcn_a425fcea,stability,tcn,2.5,0.25,0.001,0.1,mse,64,7,19,1.2247833352188082,0.2020998535240426,1.5420615235469657,0.2466398202357978,1.5420615235469657,0.0005826499810351,-0.2222431452590064,1.4518261629775715,completed,,1.1966808072747606,0.0257789711211736
stab_tcn_08f39134,stability,tcn,2.5,0.25,0.001,0.1,mse,64,42,19,1.2656337033135128,0.2288189874658062,1.5955161873645354,0.2735948871435525,1.5955161873645354,0.0050152323206149,-0.1922740429487108,1.502369758059381,completed,,1.2065312209945824,0.0351142518058336
stab_tcn_67b29062,stability,tcn,2.5,0.25,0.001,0.1,mse,64,123,19,1.2443347118700074,0.2057299353154933,1.5641972849914487,0.2533328028389046,1.5641972849914487,0.002813463099297,-0.2467868857340667,1.4772876322363269,completed,,1.2112566573540104,0.0351497409284767
stab_tcn_f65fd2f8,stability,tcn,2.5,0.25,0.001,0.1,mse,64,2026,19,1.250516105485335,0.2163363684683865,1.5711449784041007,0.2638255106327335,1.5711449784041007,-0.0212767689981968,-0.2243916779268379,1.4873453785852555,completed,,1.215618818257491,0.0353881658348146
stab_tcn_709c0124,stability,tcn,2.5,0.25,0.001,0.1,mse,64,3407,19,1.226122506200932,0.2088218026097688,1.547351333703926,0.2533789752702802,1.547351333703926,0.0026257297005238,-0.237916196413447,1.4572485693201902,completed,,1.2166691870518351,0.0335292127415128
stab_tcn_c94f567b,stability,tcn,2.5,0.25,0.001,0.1,huber,16,7,19,1.171557071923431,0.1915147022535689,1.4882990678337722,0.2353367295971717,1.4882990678337722,0.0084204683643743,-0.1857857445244555,1.388107298977302,completed,,1.2125680856765255,0.0345947489332597
stab_tcn_2dbef567,stability,tcn,2.5,0.25,0.001,0.1,huber,16,42,19,1.200695379740953,0.2271151479315744,1.5120656671006842,0.2629122283225191,1.5120656671006842,0.0294782023455043,-0.215101476859034,1.434612611471644,completed,,1.211578693515228,0.0331623841143153
stab_tcn_35165422,stability,tcn,2.5,0.25,0.001,0.1,huber,16,123,19,1.2000326309684712,0.2121157665011954,1.5196528108841267,0.2566533360910875,1.5196528108841267,0.0144393863233611,-0.2230679951014521,1.429499561140832,completed,,1.210690534857785,0.0319116459234486
stab_tcn_a2756ebf,stability,tcn,2.5,0.25,0.001,0.1,huber,16,2026,19,1.2025134854025978,0.2241741815561682,1.5327504805045526,0.2701127780484254,1.5327504805045526,0.0164072312038726,-0.1983373899966173,1.4341269025223375,completed,,1.2101064598967002,0.0307375063731002
stab_tcn_52df49df,stability,tcn,2.5,0.25,0.001,0.1,huber,16,3407,19,1.186149574219732,0.2017624344584943,1.510261705510722,0.2379725981730389,1.510261705510722,0.004605836250792,-0.2121725676422577,1.4095244855872722,completed,,1.2085093341849025,0.030258406255503
stab_tcn_fc947168,stability,tcn,2.5,0.25,0.001,0.1,huber,64,7,19,1.2109861472348624,0.194895459078315,1.534321280045991,0.243621170812331,1.534321280045991,-0.0453373390163077,-0.2084822226612883,1.4407909631276152,completed,,1.2086641350005247,0.0292389549265212
stab_tcn_fe75ee1d,stability,tcn,2.5,0.25,0.001,0.1,huber,64,42,19,1.230631598720576,0.2212198525851584,1.5555441993954364,0.2722802837765214,1.5555441993954364,-0.0228850158621908,-0.1880839750168689,1.4637321316874248,completed,,1.209956338748763,0.0288074754851719
stab_tcn_40e73ecf,stability,tcn,2.5,0.25,0.001,0.1,huber,64,123,19,1.242835369424545,0.2115166755111841,1.567078713684161,0.2597114580687606,1.567078713684161,0.0519951602915943,-0.2260851302609678,1.482830196740593,completed,,1.2117829515640843,0.0290019306666174
stab_tcn_1c7564be,stability,tcn,2.5,0.25,0.001,0.1,huber,64,2026,19,1.20479741847412,0.2223450119905786,1.5302007502323975,0.2743553729913204,1.5302007502323975,-0.0309774602221057,-0.2110831368294882,1.4391586792112694,completed,,1.2114152919277703,0.0282303354121132
stab_tcn_3a58588a,stability,tcn,2.5,0.25,0.001,0.1,huber,64,3407,19,1.2499084981515571,0.2117483632384673,1.5659233299268478,0.2592007357883739,1.5659233299268478,-0.0008223514684971,-0.2267552469303926,1.4822367993671726,completed,,1.2133399522389596,0.0287939811453394
stab_tcn_9d3ea2d0,stability,tcn,2.5,0.25,0.001,0.1,mse,16,7,19,1.1428059912180757,0.1800057211962422,1.4571753326599777,0.2224802910077604,1.4571753326599777,-0.0253243171161893,-0.1846360099214617,1.3557872033427083,completed,,1.2099811921903465,0.0320085196945386
stab_tcn_2e1e1355,stability,tcn,2.5,0.25,0.001,0.1,mse,16,42,19,1.2197524942493607,0.2246965091974941,1.5324863246504563,0.2578730630813787,1.5324863246504563,0.0250194445740315,-0.2126008648290828,1.454188257182793,completed,,1.2104253422839375,0.0313065070673492
stab_tcn_003ef9d5,stability,tcn,2.5,0.25,0.001,0.1,mse,16,123,19,1.2049284271539014,0.2117492376577098,1.5225231210692869,0.2549248643765576,1.5225231210692869,0.0156991623030213,-0.2220413064956488,1.4346770536702755,completed,,1.2101863459739362,0.0306081891993809
stab_tcn_cb2da2e7,stability,tcn,2.5,0.25,0.001,0.1,mse,16,2026,19,1.184143549956923,0.2135978001725235,1.5153179908722738,0.2602937897090776,1.5153179908722738,0.0364221672590216,-0.2109638162639145,1.415634505802526,completed,,1.2091012294732273,0.0304037434552515
stab_tcn_c420a354,stability,tcn,2.5,0.25,0.001,0.1,mse,16,3407,19,1.1857626404734065,0.1957527029507525,1.5047689032200124,0.23379583043010863,1.5047689032200124,-0.01937872627510381,-0.23032783597459774,1.4111172990718213,completed,,1.2081676859132344,0.03012738048490644
